+5V
GND
N$6
N$7
AREF
RESET
VIN
N$3
PWRIN
M8RXD
M8TXD
ADC0
ADC2
ADC1
ADC3
ADC4
ADC5
ADC6
ADC7
+3V3
SDA
SCL
ADC9
ADC8
ADC10
ADC11
ADC12
ADC13
ADC14
ADC15
PB3
PB2
PB1
PB5
PB4
PE5
PE4
PE3
PE1
PE0
N$15
N$53
N$54
N$55
D-
D+
N$60
DTR
USBVCC
N$2
N$4
GATE_CMD
CMP
PB6
PH3
PH4
PH5
PH6
PG5
RXD1
TXD1
RXD2
RXD3
TXD2
TXD3
PC0
PC1
PC2
PC3
PC4
PC5
PC6
PC7
PB0
PG0
PG1
PG2
PD7
PA0
PA1
PA2
PA3
PA4
PA5
PA6
PA7
PL0
PL1
PL2
PL3
PL4
PL5
PL6
PL7
PB7
CTS
DSR
DCD
RI
